"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Rooker, Brent","667670","161","18.8",42.9,"113.4","92.2","104.2","98.2","87.2","447","205","415","83",51.6,"26",16.1,8.9
"Triolo, Jared","669707","161","9.7",37.9,"108","87.4","98.8","90.4","84.3","411","165","395","59",36.6,"6",3.7,2.4
"Suzuki, Seiya","673548","160","17.8",37.5,"115","92.9","103.2","94.8","91.7","431","204","403","81",50.6,"18",11.3,7
"Gordon, Nick","624503","160","6.5",34.4,"107.9","87.1","97","91.5","83.8","407","150","379","51",32.1,"11",6.9,5.1
"Conforto, Michael","624424","160","17.1",30.6,"113.6","89.7","100.7","94.1","86.5","420","174","390","72",45.3,"17",10.6,7.3
"Hoskins, Rhys","656555","160","19.7",31.3,"107.4","88.6","99.5","95","80.3","423","191","400","64",40.3,"20",12.5,7.8
"Moreno, Gabriel","672515","160","10.3",30,"110.2","89.1","99.2","91.7","87.8","433","147","402","62",38.8,"8",5,3.7
"Gorman, Nolan","669357","160","21",37.5,"111","88.1","100.3","93.7","78.5","436","201","400","61",38.4,"25",15.6,8.4
"Cowser, Colton","681297","158","13.4",33.5,"113.6","91.5","102.2","96.2","85.8","443","183","410","78",49.4,"25",15.8,9.4
"Urshela, Gio","570482","158","7.1",38,"109","85.4","96.5","89.5","82.2","395","136","389","44",28.2,"7",4.4,3.5
"Rojas, Johan","679032","158","6.4",21.5,"110.4","84.5","97.1","88.2","84.6","390","119","389","47",29.7,"5",3.2,2.5
"Renfroe, Hunter","592669","157","18.9",26.8,"111.6","88","99.9","92.5","84.7","434","166","398","54",34.4,"12",7.6,5.5
"Cabrera, Oswaldo","665828","157","12.9",32.5,"106.1","87.6","96.6","88.3","88.5","381","158","356","50",31.8,"5",3.2,2.4
"Espinal, Santiago","669289","157","11",31.2,"105.9","85.4","94.7","88.9","83.9","390","145","379","37",23.6,"2",1.3,1
"Adell, Jo","666176","156","14",30.8,"115.6","89.6","102.9","97.3","80.9","436","178","403","69",44.2,"20",12.8,8
"Kelenic, Jarred","672284","156","13.3",40.4,"109","89.3","100.4","93.5","84.8","413","189","389","71",45.5,"16",10.3,6.6
"Bailey, Patrick","672275","155","12",45.8,"109.7","92","100.6","93","90.9","433","177","409","66",42.9,"7",4.5,3.2
"Torkelson, Spencer","679529","154","20.9",27.3,"109","88.8","99.6","91.6","88.8","446","170","421","60",39.2,"7",4.5,3
"McCarthy, Jake","664983","154","11.7",35.7,"106.6","84.7","95.5","88.1","81","411","145","372","32",20.8,"4",2.6,1.8
"Turner, Trea","607208","153","12.7",32.7,"110.6","90.4","100.1","93.1","89.5","429","156","419","69",45.1,"9",5.9,4.4
"Buxton, Byron","621439","153","20.4",34.6,"112.7","91.1","101.8","95","89","456","184","416","71",46.4,"15",9.8,6.4
"Fraley, Jake","641584","153","11.3",34.6,"108.7","83.7","95.2","88.9","81.2","389","152","354","37",24.2,"4",2.6,1.9
